Date,normalized_one1,normalized_one2,normalized_one3,normalized_one4,normalized_two1,normalized_two2,normalized_two3,normalized_two4,LTC_normalized_vf_us_cases1,LTC_normalized_vf_us_cases2,LTC_normalized_vf_us_deaths1,LTC_normalized_vf_us_deaths2,normalized_one_dose_one1,normalized_one_dose_one2,normalized_one_dose_one3,normalized_one_dose_one4,normalized_one_dose_two1,normalized_one_dose_two2,normalized_one_dose_two3,normalized_one_dose_two4,LTC_normalized_vf_one_dose_us_cases1,LTC_normalized_vf_one_dose_us_cases2,LTC_normalized_vf_one_dose_us_deaths1,LTC_normalized_vf_one_dose_us_deaths2,one_minus_vf_LTC,one_minus_vf_US,vf_LTC,vf_US,one_minus_vf_one_dose_LTC,one_minus_vf_one_dose_US,vf_one_dose_LTC,vf_one_dose_US,New Cases,New Deaths,sum_residents_weekly_confirmed,sum_residents_weekly_covid_19
01/19/2021,625.641101755011,7664.80290700332,149910.115937268,2353.55280571226,20372.4089786274,249584.784509873,17016669.4211039,267157.621815703,11.5762948709211,141.8225534257,6.19646545861311e-05,0.000759136289593093,1012.12245914744,12399.6315864721,156668.641919349,2459.66003995829,1516.4756207182,18578.5216372055,2885739.98333023,45305.4244662514,18.7273949868475,141.8225534257,0.000100242484715294,0.000759136289593093,0.9702048,0.991267327564364,0.0297952,0.00873267243563579,0.5997298,0.948505062528707,0.4002702,0.0514949374712929,148601,2333,607,7436.42857142857
01/20/2021,631.290807698628,7734.01812067594,190481.645167608,4333.03068969214,15775.2481937731,193264.425682951,18990312.811983,431987.07229125,10.4668552314406,128.230677588289,3.39609951941143e-05,0.000416060156467315,1064.23565087741,13038.0764430274,199547.455398973,4539.25756223338,1412.81861736496,17308.6074669176,3434433.74793205,78125.6735703298,17.6451175179943,128.230677588289,5.72517473470117e-05,0.000416060156467315,0.961522,0.990069147261176,0.038478,0.00993085273882371,0.5703624,0.945088473430721,0.4296376,0.0549115265692792,188590,4290,607,7436.42857142857
01/21/2021,632.736163821751,7751.72534896241,191512.067428481,3990.69814268561,14923.3916173318,182828.230322477,17707787.6144366,368992.07497926,11.2506398661942,137.832915564778,3.69586829182076e-05,0.000452785182232831,1116.16419051066,13674.2591049734,201299.217419477,4194.64122478846,1330.63494304356,16301.7655825212,3222207.92997495,67143.8587351679,19.846441624467,137.832915564778,6.51961445550666e-05,0.000452785182232831,0.9593256,0.989300583216531,0.0406744,0.0106994167834686,0.5438268,0.941200877126054,0.4561732,0.0587991228739458,189463,3948,607,7436.42857142857
01/22/2021,633.326495772154,7758.95757529289,193600.824344109,3855.53035237439,14602.3681336393,178895.333771851,16953833.409211,337632.959569064,11.761930707481,144.096799947734,3.82900769286195e-05,0.000469096247239183,1168.64444175761,14317.2008509514,204255.87854959,4067.724102244,1263.01824322693,15473.3854203761,3044779.12796858,60636.3035071245,21.7036789671609,144.096799947734,7.06546873939739e-05,0.000469096247239183,0.9584314,0.988709633073544,0.0415686,0.0112903669264559,0.5194052,0.937133370942506,0.4805948,0.0628666290574937,191415,3812,607,7436.42857142857
01/23/2021,637.053107769655,7804.61273827945,173277.93780071,3326.97526095917,12866.9300819074,157634.277574416,14617935.7230114,280667.64375211,13.7217170992007,168.106374111295,4.46343048176206e-05,0.000546820131155858,1200.07671001046,14702.2812754988,183162.285157574,3516.7569466394,1228.25015833703,15047.4375128816,2632652.70167917,50547.5222082658,25.8488859268812,168.106374111295,8.40818277563477e-05,0.000546820131155858,0.9528248,0.988285076412641,0.0471752,0.0117149235873588,0.505801,0.934952301193859,0.494199,0.065047698806141,171248,3288,607,7436.42857142857
01/24/2021,618.87781780219,8455.33726944242,141926.587401725,2111.2527460083,11504.7135463454,157181.644622729,11723828.4194013,174399.775245285,16.6208922222496,227.080766858397,6.8329366942449e-05,0.000933541042006711,1181.47882638199,16141.7999908953,150126.465026364,2233.23140038791,1167.74432813144,15954.1542042886,2127017.777593,31640.8095619237,31.7303863077567,227.080766858397,0.000130445296212559,0.000933541042006711,0.9489526,0.988038975411143,0.0510474,0.0119610245888571,0.4970768,0.934072483325133,0.5029232,0.0659275166748665,140229,2086,587.285714285714,8023.71428571429
01/25/2021,626.489818237489,8559.33523014517,136460.593253149,2230.74520948434,9384.94910759658,128220.640130691,10097416.3892941,165064.233575481,19.535414115359,266.900041158661,6.54646357841283e-05,0.00089440202711052,1244.55104009471,17003.5158642567,144529.851103854,2362.6547803387,1112.04260721865,15193.1367251381,1967836.65545233,32168.5703363061,38.8080049319084,266.900041158661,0.000130048531010081,0.00089440202711052,0.9374226,0.986665796991124,0.0625774,0.013334203008876,0.4718856,0.931579178776375,0.5281144,0.0684208212236249,134641,2201,587.285714285714,8023.71428571429
01/26/2021,636.02149755756,8689.56055261929,151781.362656737,3781.61566124009,7664.31386586425,104712.686108035,9986381.21523942,248809.570171474,20.0531464227375,273.973491116388,3.92046079290907e-05,0.000535627829955073,1319.50833533833,18027.6101100979,161028.315889361,4012.00246599114,1058.32348379393,14459.2062249501,2089983.70315877,52071.7100259277,41.6028293951925,273.973491116388,8.13349975508093e-05,0.000535627829955073,0.923374,0.985028710923648,0.076626,0.0149712890763519,0.4450792,0.928464035497485,0.5549208,0.0715359645025146,149509,3725,587.285714285714,8023.71428571429
01/27/2021,645.899690191252,8824.52006793526,159768.086752261,3983.95495253215,6471.62481388766,88417.7278756541,9346755.87303414,233069.41397016,21.7582041422561,297.26861927851,3.77914334215189e-05,0.000516320518013386,1408.60899604657,19244.9362374001,169856.550335724,4235.51948756408,1007.2232929023,13761.0565480784,2088814.44822483,52086.3886843049,47.4513342521106,297.26861927851,8.24173689807533e-05,0.000516320518013386,0.9092522,0.983193847990275,0.0907478,0.0168061520097248,0.416926,0.924798011554594,0.583074,0.0752019884454056,157083,3917,587.285714285714,8023.71428571429
01/28/2021,656.201139073236,8965.26226640413,161535.059765505,3685.72178468153,5592.03626566784,76400.4643389685,8629923.87132039,196907.708201815,23.9413637861125,327.095752471612,4.15008639866252e-05,0.00056700012811306,1493.61317780282,20406.2947566221,172211.000349813,3929.31315636685,967.837472990719,13222.9529331055,2001391.16038968,45665.4487900375,54.494170028434,327.095752471612,9.44622519676972e-05,0.00056700012811306,0.8949782,0.981625909757216,0.1050218,0.0183740902427844,0.393198,0.920771609699162,0.606802,0.0792283903008376,158567,3618,587.285714285714,8023.71428571429
