Date,New Cases,New Deaths,sum_residents_weekly_confirmed,sum_residents_weekly_covid_19,sum_staff_weekly_confirmed_covid,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Daily Count of People Fully Vaccinated
01/07/2021,281690,4154,713.571428571429,6215.28571428571,991.857142857143,123182,122003,341,341
01/08/2021,314861,3642,713.571428571429,6215.28571428571,991.857142857143,113903,111819,1248,1248
01/09/2021,245699,3498,713.571428571429,6215.28571428571,991.857142857143,50575,49659,337,337
01/10/2021,218743,2263,614.142857142857,6829.42857142857,910.714285714286,35526,35033,283,283
01/11/2021,201665,2298,614.142857142857,6829.42857142857,910.714285714286,143414,131127,11373,11373
01/12/2021,221561,4221,614.142857142857,6829.42857142857,910.714285714286,156403,142062,13410,13410
01/13/2021,224532,4121,614.142857142857,6829.42857142857,910.714285714286,159898,143233,15801,15801
01/14/2021,226587,3891,614.142857142857,6829.42857142857,910.714285714286,141344,137738,2986,2986
01/15/2021,246950,3617,614.142857142857,6829.42857142857,910.714285714286,112890,110382,1463,1463
01/16/2021,214063,3512,614.142857142857,6829.42857142857,910.714285714286,64399,56660,7067,7067
01/17/2021,185572,2046,607,7436.42857142857,984,49103,43202,5653,5653
01/18/2021,150690,1967,607,7436.42857142857,984,170374,129275,40499,40499
01/19/2021,148601,2333,607,7436.42857142857,984,180314,132002,47610,47610
01/20/2021,188590,4290,607,7436.42857142857,984,190978,146837,43414,43414
01/21/2021,189463,3948,607,7436.42857142857,984,144238,132678,10982,10982
01/22/2021,191415,3812,607,7436.42857142857,984,127059,122108,4471,4471
01/23/2021,171248,3288,607,7436.42857142857,984,96530,68021,28033,28033
01/24/2021,140229,2086,587.285714285714,8023.71428571429,1054.85714285714,63312,43621,19360,19361
01/25/2021,134641,2201,587.285714285714,8023.71428571429,1054.85714285714,184673,125956,57650,57650
01/26/2021,149509,3725,587.285714285714,8023.71428571429,1054.85714285714,204998,134032,70243,70243
01/27/2021,157083,3917,587.285714285714,8023.71428571429,1054.85714285714,212049,140766,70609,70609
01/28/2021,158567,3618,587.285714285714,8023.71428571429,1054.85714285714,190714,118640,71370,71370
01/29/2021,149468,3481,587.285714285714,8023.71428571429,1054.85714285714,177823,114173,63140,63140
01/30/2021,155384,2816,587.285714285714,8023.71428571429,1054.85714285714,96411,61032,34950,34950
01/31/2021,112904,2066,571.285714285714,8594.57142857143,1330.85714285714,67477,42678,24474,24474
02/01/2021,126331,1868,571.285714285714,8594.57142857143,1330.85714285714,174292,88341,85039,85039
02/02/2021,118741,3353,571.285714285714,8594.57142857143,1330.85714285714,188359,96482,90418,90418
02/03/2021,119369,3584,571.285714285714,8594.57142857143,1330.85714285714,199862,101268,96823,96823
02/04/2021,126581,3466,571.285714285714,8594.57142857143,1330.85714285714,203719,99539,103311,103311
02/05/2021,127841,3413,571.285714285714,8594.57142857143,1330.85714285714,208516,110390,96562,96562
02/06/2021,108807,2716,571.285714285714,8594.57142857143,1330.85714285714,111041,60636,49616,49616
02/07/2021,90920,1537,647.571428571429,9242.14285714286,1521.71428571429,65480,30173,34746,34746
02/08/2021,82399,1618,647.571428571429,9242.14285714286,1521.71428571429,161700,73320,86986,86986
02/09/2021,91484,2736,647.571428571429,9242.14285714286,1521.71428571429,169319,74820,93066,93066
02/10/2021,96363,3451,647.571428571429,9242.14285714286,1521.71428571429,162389,61099,99394,99394
02/11/2021,101716,3314,647.571428571429,9242.14285714286,1521.71428571429,159879,62508,96057,96057
02/12/2021,97483,2780,647.571428571429,9242.14285714286,1521.71428571429,171510,84299,86114,86114
02/13/2021,88666,2027,647.571428571429,9242.14285714286,1521.71428571429,85362,42622,42263,42263
02/14/2021,65829,1286,704.142857142857,9946.28571428571,1720.28571428571,53812,25042,27967,27967
02/15/2021,55312,1251,704.142857142857,9946.28571428571,1720.28571428571,105686,38417,66527,66527
02/16/2021,57863,1498,704.142857142857,9946.28571428571,1720.28571428571,113305,42377,69978,69978
02/17/2021,69349,2668,704.142857142857,9946.28571428571,1720.28571428571,117831,40681,75811,75811
02/18/2021,68098,2451,704.142857142857,9946.28571428571,1720.28571428571,111638,36764,73298,73298
02/19/2021,72948,2536,704.142857142857,9946.28571428571,1720.28571428571,111944,37382,73147,73147
02/20/2021,69686,2027,704.142857142857,9946.28571428571,1720.28571428571,60515,19337,40583,40583
02/21/2021,54114,1266,710.857142857143,10652.4285714286,1618,42300,12802,28998,28998
02/22/2021,55803,1608,710.857142857143,10652.4285714286,1618,94317,29202,64228,64228
02/23/2021,70301,2007,710.857142857143,10652.4285714286,1618,93344,29884,62463,62463
02/24/2021,74598,2185,710.857142857143,10652.4285714286,1618,105377,38087,66501,66501
02/25/2021,73946,2217,710.857142857143,10652.4285714286,1618,110431,42082,67376,67376
02/26/2021,73118,1913,710.857142857143,10652.4285714286,1618,70233,22467,46707,46707
02/27/2021,70363,1733,710.857142857143,10652.4285714286,1618,42465,13198,28757,28757
02/28/2021,50272,899,686.857142857143,11339.1428571429,1567.71428571429,21659,6264,15088,15088
03/01/2021,50802,1298,686.857142857143,11339.1428571429,1567.71428571429,37756,12822,24541,24541
03/02/2021,55280,1950,686.857142857143,11339.1428571429,1567.71428571429,40757,14660,25729,25732
03/03/2021,63979,1694,686.857142857143,11339.1428571429,1567.71428571429,41299,12893,28097,28099
03/04/2021,66539,1600,686.857142857143,11339.1428571429,1567.71428571429,40772,11604,28761,28761
03/05/2021,66221,2028,686.857142857143,11339.1428571429,1567.71428571429,39716,12721,26508,26515
03/06/2021,58085,1496,686.857142857143,11339.1428571429,1567.71428571429,16580,5107,11289,11348
03/07/2021,41992,873,682,12021.1428571429,1377.85714285714,10695,3321,7138,7140
03/08/2021,42832,915,682,12021.1428571429,1377.85714285714,24080,7520,16289,16291
03/09/2021,53130,1244,682,12021.1428571429,1377.85714285714,27095,9360,17536,17537
03/10/2021,57378,1397,682,12021.1428571429,1377.85714285714,23660,7635,15808,15809
03/11/2021,61126,1388,682,12021.1428571429,1377.85714285714,22590,6962,15373,15379
03/12/2021,62805,1072,682,12021.1428571429,1377.85714285714,22169,7509,14361,14373
03/13/2021,52901,930,682,12021.1428571429,1377.85714285714,10249,2654,7492,7494
03/14/2021,40274,576,611,12631.7142857143,1250.14285714286,7918,1769,6034,6037
03/15/2021,45407,755,611,12631.7142857143,1250.14285714286,15037,4401,9993,10002
03/16/2021,52119,929,611,12631.7142857143,1250.14285714286,14398,4909,9306,9309
03/17/2021,58503,1019,611,12631.7142857143,1250.14285714286,14981,4978,9886,9888
03/18/2021,58692,945,611,12631.7142857143,1250.14285714286,14940,4868,9921,9938
03/19/2021,61717,1233,611,12631.7142857143,1250.14285714286,13850,4417,9246,9273
03/20/2021,60512,675,611,12631.7142857143,1250.14285714286,6703,1599,5012,5015
03/21/2021,39048,431,582,13213.7142857143,1190.42857142857,3432,999,2380,2381
03/22/2021,55491,951,582,13213.7142857143,1190.42857142857,7970,2766,4993,5004
03/23/2021,59458,723,582,13213.7142857143,1190.42857142857,7094,2851,4207,4288
