Date,LTC_double_normalized_vf_us_cases1,LTC_double_normalized_vf_us_cases2,LTC_double_normalized_vf_us_deaths1,LTC_double_normalized_vf_us_deaths2
02/21/2021,37925.5738832229,568327.224226343,20292.6818766526,304092.526024186
02/22/2021,38918.2857078922,583203.338098955,16911.6596748267,253426.794005789
02/23/2021,32838.7066003112,492098.841452051,14405.0805306254,215864.87940658
02/24/2021,33678.0568287395,504676.78125977,14391.569604653,215662.413727926
02/25/2021,37680.1481173056,564649.438236159,15711.8512368759,235447.269127839
02/26/2021,40396.5002852296,605354.870733263,19272.1974361118,288800.230349386
02/27/2021,43523.2703734718,652210.551032691,22025.2337754989,330055.387246308
02/28/2021,59929.8454205425,989365.963063674,41730.171342236,688912.358593727
03/01/2021,61570.534712906,1016451.66853207,29961.1934703736,494621.41649697
03/02/2021,59165.6705125937,976750.401677747,20810.0712213526,343547.960300259
03/03/2021,53222.6186519235,878638.130798207,24875.7704237196,410667.512814543
03/04/2021,53120.0353362462,876944.609979037,27256.0701307852,449963.250948616
03/05/2021,55724.2296207404,919936.564458537,22382.4302740431,369505.61991928
03/06/2021,64609.9222199062,1066628.11278761,30794.6249587237,508380.316446285
03/07/2021,89797.8155695167,1582804.06044066,52953.5321400315,933375.329392411
03/08/2021,90469.0980327812,1594636.29268171,51783.5176649052,912752.292514964
03/09/2021,75542.1154212443,1331528.68212544,39330.0786867497,693244.126797783
03/10/2021,71972.964355984,1268617.72195797,35911.0066257453,632978.505559952
03/11/2021,69351.8727632889,1222417.55116993,36959.0043452264,651450.837377904
03/12/2021,69507.8044732008,1225166.05169897,49135.8455451187,866083.605138385
03/13/2021,83281.0125721224,1467936.875978,57055.576489246,1005679.23133998
03/14/2021,98696.2689015478,2040430.5561872,83028.287315737,1716513.2618733
03/15/2021,89149.1979125322,1843055.96862799,64333.8088358466,1330026.66469096
03/16/2021,79284.2383719032,1639109.40503166,53166.8211299299,1099162.18329452
03/17/2021,72151.2148207252,1491642.44023338,49295.2426264616,1019121.80114964
03/18/2021,73455.6329289019,1518609.76732274,54035.3590645281,1117118.19481031
03/19/2021,71219.249048433,1472375.13195243,42031.9085996095,868960.818843739
03/20/2021,73062.1900951292,1510475.79438661,77027.9618329663,1592463.51208664
03/21/2021,108301.243311159,2458868.87611904,115225.333293448,2616073.25191722
03/22/2021,77163.0226631879,1751907.44827055,52680.9487694644,1196067.01948463
03/23/2021,72886.9931668223,1654824.5753457,69840.4562532121,1585656.07304789
03/24/2021,65624.0606629825,1489927.12692274,45876.0655043469,1041569.11018411
03/25/2021,64932.5118630391,1474226.21926452,48598.0214586642,1103368.33403059
03/26/2021,62982.6452285254,1429956.49314131,43908.1652069857,996889.948204552
03/27/2021,70884.909205353,1609369.30826174,68771.8445853397,1561394.33892135
03/28/2021,82882.3561138279,2230181.15566712,88762.7016365459,2388408.26682171
03/29/2021,64272.2784153956,1729425.06553444,74051.8891352729,1992572.79153872
03/30/2021,63288.092357066,1702942.79229956,64111.6606801693,1725103.19700701
03/31/2021,57641.1679373476,1550996.52751147,48740.7252213832,1311505.27083221
04/01/2021,53332.0731335855,1435048.30306506,59269.0176395275,1594798.36785822
04/02/2021,61500.3165354385,1654837.69327854,56037.0193203752,1507832.43102334
04/03/2021,58902.7902695054,1584943.99815146,65994.7896208691,1775774.03787297
04/04/2021,84805.7998530603,2704480.96925228,107800.171819513,3437778.00189543
04/05/2021,56497.4614919246,1801720.04368472,115799.916049165,3692892.1104289
04/06/2021,57727.398109666,1840943.07066909,56390.4315159327,1798306.82744584
04/07/2021,47253.9614250834,1506942.20934593,51720.1468648351,1649370.12757662
04/08/2021,46808.2243608788,1492727.52816233,42483.2684788793,1354803.46051613
